Section,Domain,Status,In WHMCS,In Cloudflare,In WPMUDEV,Server In Use,Old Server Abandoned?,Notes,Cloudflare IP,Is In Cloudflare,Repo URL,Site Health,Priority,Repo Archived,Last PR Closed,Open PRs,Last Commit,Dev Status,Left FFC,Host Category,Is Staging,Domain Age,Expiry,Recurring,Work Tier,Migration Score,Maintenance Score,Dev Score
For-Profit,shelteraid.us,Unknown,No,No,No,HostPapa,No,.us not paired,204.44.192.77,No,,Unreachable,Standard,,,,,None,,HostPapa,,,,,3 - Needs Migration,25,0,0
Org-WPAdmin,southamptonfriends.org,Active,Yes,Yes,Yes,InterServer DA,No,Duplicate on Hostinger,192.64.86.202,Yes,https://github.com/FreeForCharity/FFC-EX-southamptonfriends.org,Live,Standard,,,,,None,,InterServer DA,,6.2,2027-05-20,0.00,3 - Needs Migration,83,66,10
For-Profit,srrn.net,Unknown,No,No,Yes,Hostinger,No,.net not paired,153.92.213.212,No,https://github.com/FreeForCharity/FFC-EX-SRRN.net,Redirect,Standard,,,,,None,,Hostinger,,,,,3 - Needs Migration,62,49,10
Org-NoWP,stg.graftonareahistory.org,Unknown,No,No,No,Hostinger,No,Staging subdomain,153.92.213.212,No,,Unreachable,Standard,,,,,None,,Hostinger,Yes,,,,3 - Needs Migration,25,0,22
Krystal-New,teamwrangler.org,Unknown,No,No,No,Krystal.io,No,Inferred from Krystal image (DNS Check failed),185.199.224.x,No,,Unreachable,Standard,,,,,None,,Krystal.io,,,,,3 - Needs Migration,25,0,0
Cloudflare-Only,technologymonastery.org,Active,Yes,Yes,Yes,InterServer RS1,No,Matches InterServer RS1 IP,185.199.111.153;185.199.110.153;185.199.109.153;185.199.108.153,Yes,https://github.com/FreeForCharity/TechnologyMonastery.org,Live,Standard,,,,,None,,InterServer RS1,,4.6,2026-12-30,0.00,3 - Needs Migration,81,64,10
Org-WPAdmin,thebirf.org,Unknown,No,No,Yes,Hostinger,No,Matches Hostinger,153.92.213.212,No,,Live,Standard,,,,,None,,Hostinger,,,,,3 - Needs Migration,70,45,0
Krystal-New,thedeviators.org,Unknown,No,No,No,Krystal.io,No,Inferred from Krystal image (DNS Check failed),185.199.224.x,No,,Live,Standard,,,,,None,,Krystal.io,,,,,3 - Needs Migration,55,45,0
Org-WPAdmin,theeverythingproject.org,Active,Yes,No,Yes,Hostinger,No,Matches Hostinger,153.92.213.212,No,,Live,Standard,,,,,None,,Hostinger,,5.3,2027-03-23,0.00,3 - Needs Migration,82,53,0
For-Profit,thelastchancesanctuary.com,Active,Yes,Yes,Yes,Cloudflare Proxy,No,Misconfigured,153.92.213.212,Yes,,Redirect,Standard,,,,,None,,Cloudflare Proxy,,9.1,2027-02-24,17.40,3 - Needs Migration,75,54,0
For-Profit,thetrendylittlegeek.com,Active,Yes,Yes,No,HostPapa,No,Matches HostPapa,216.222.200.253,Yes,,Live,Standard,,,,,None,,HostPapa,,10.0,2027-08-07,0.00,3 - Needs Migration,70,60,0
Org-WPAdmin,transferca.org,Unknown,No,No,Yes,Hostinger,No,Matches Hostinger,153.92.213.212,No,,Live,Standard,,,,,None,,Hostinger,,,,,3 - Needs Migration,70,45,0
For-Profit,trendylittlegeek.com,Active,Yes,Yes,No,HostPapa,No,Matches HostPapa,216.222.200.253,Yes,,Live,Standard,,,,,None,,HostPapa,,10.0,2027-08-07,0.00,3 - Needs Migration,70,60,0
Krystal-New,tribute-aviation.org,Unknown,No,No,No,Krystal.io,No,Inferred from Krystal image (DNS Check failed),185.199.224.x,No,,Unreachable,Standard,,,,,None,,Krystal.io,,,,,3 - Needs Migration,25,0,0
Org-WPAdmin,turksotx.org,Unknown,No,No,Yes,Hostinger,No,Matches Hostinger,153.92.213.212,No,,Live,Standard,,,,,None,,Hostinger,,,,,3 - Needs Migration,70,45,0
Krystal-New,viewpointnorth.org,Unknown,No,No,No,Krystal.io,No,Inferred from Krystal image (DNS Check failed),185.199.224.x,No,,Unreachable,Standard,,,,,None,,Krystal.io,,,,,3 - Needs Migration,25,0,0
Krystal-New,vtyouthchat.org,Unknown,No,No,No,Krystal.io,No,Inferred from Krystal image (DNS Check failed),185.199.224.x,No,,Unreachable,Standard,,,,,None,,Krystal.io,,,,,3 - Needs Migration,25,0,0
Cloudflare-Only,bintobetter.org,Active,Yes,Yes,No,GitHub Pages,Yes,Fully migrated,185.199.108.153;185.199.111.153;185.199.110.153;185.199.109.153,Yes,https://github.com/FreeForCharity/FFC-EX-bintobetter.org,Live,Standard,,,,,None,,GitHub Pages,,0.6,2026-11-30,0.00,4 - Done / Stable,0,63,25
Cloudflare-Only,fencingtogether.org,Active,Yes,Yes,No,GitHub Pages,Yes,Fully migrated,185.199.111.153;185.199.110.153;185.199.109.153;185.199.108.153,Yes,https://github.com/FencingTogether/website,Live,Standard,,,,,None,,GitHub Pages,,0.6,2026-12-16,8.50,4 - Done / Stable,0,63,25
Subdomain,ffcadmin.org,Active,Yes,Yes,No,GitHub Pages,Yes,Fully migrated,185.199.109.153;185.199.111.153;185.199.110.153;185.199.108.153,Yes,https://github.com/FreeForCharity/FFC-IN-ffcadmin.org,Live,Standard,,,,,None,,GitHub Pages,,9.1,2026-10-05,0.00,4 - Done / Stable,0,76,10
Subdomain,ffcsites.org,Active,Yes,Yes,No,GitHub Pages,Yes,Fully migrated,185.199.111.153;185.199.110.153;185.199.109.153;185.199.108.153,Yes,,Redirect,Standard,,,,,None,,GitHub Pages,,8.4,2027-02-21,0.00,4 - Done / Stable,0,55,0
Subdomain,ffcworkingsite1.org,Active,Yes,Yes,No,GitHub Pages,Yes,Fully migrated,185.199.108.153;185.199.109.153,Yes,https://github.com/FreeForCharity/FFC-IN-Single_Page_Template_HTML,Live,Standard,,,,,None,,GitHub Pages,,9.1,2026-11-02,0.00,4 - Done / Stable,0,76,10
Org-NoWP,ffcworkingsite2.org,Active,Yes,Yes,No,GitHub Pages,Yes,Fully migrated,185.199.111.153;185.199.110.153;185.199.109.153;185.199.108.153,Yes,https://github.com/FreeForCharity/FFC_Single_Page_Template,Live,Standard,,,,,None,,GitHub Pages,,7.8,2026-09-19,0.00,4 - Done / Stable,0,74,10
Cloudflare-Only,legioninthewoods.org,Active,Yes,Yes,No,GitHub Pages,Yes,Fully migrated (dashless variant),185.199.111.153;185.199.110.153;185.199.109.153;185.199.108.153,Yes,https://github.com/FreeForCharity/legioninthewoods.org,Live,Standard,,,,,None,,GitHub Pages,,0.7,2026-11-06,0.00,4 - Done / Stable,0,63,25
Cloudflare-Only,pagbooster.org,Active,Yes,Yes,No,GitHub Pages,Yes,Fully migrated,185.199.111.153;185.199.110.153;185.199.109.153;185.199.108.153,Yes,https://github.com/FreeForCharity/FFC-EX-PAGboosters.org,Live,Standard,,,,,None,,GitHub Pages,,1.9,2026-09-03,0.00,4 - Done / Stable,0,65,10
Cloudflare-Only,thekccf.org,Active,Yes,Yes,No,GitHub Pages,Yes,Fully migrated,185.199.111.153;185.199.109.153;185.199.110.153;185.199.108.153,Yes,https://github.com/koenig-childhood-cancer-foundation/KCCF-web,Live,Standard,,,,,None,,GitHub Pages,,1.3,2027-03-11,0.00,4 - Done / Stable,0,64,25
For-Profit,3dmc2.com,Active,Yes,No,No,,,,(no A record),No,,Live,Standard,,,,,None,,Unresolved/Parked,,8.1,2035-06-28,156.60,5 - Needs Triage,47,55,0
